payment_type,profit_per_order,sales_per_customer,category_id,category_name,customer_city,customer_country,customer_segment,customer_state,customer_zipcode,department_id,department_name,latitude,longitude,market,order_city,order_country,order_customer_id,order_date,order_item_discount,order_item_discount_rate,order_item_product_price,order_item_profit_ratio,order_item_quantity,sales,order_item_total_amount,order_profit_per_order,order_region,order_state,order_status,product_category_id,product_name,product_price,shipping_date,shipping_mode,label,shipping_duration,high_volume_customer,high_profit_margin
1,0.7985091376340628,0.0435587783517117,9.0,10,64,1,0,34,725.0,3.0,5,18.359064,-66.370575,1,2550,7,12073.336,2015-08-12 00:00:00+01:00,0.025246676,0.13,0.0452261306532663,0.41,0.0,99.99,0.0401043053040103,32.083145,22,930,1,9.0,57,99.99,2015-08-13 00:00:00+01:00,3,-1,1.0,0,1
3,0.8115411294582366,0.0898920204875275,48.0,45,3,0,0,3,92745.16,7.0,3,37.636528,-121.11963,2,386,4,5111.048,,0.033,0.07,0.0954773869346733,0.48,0.0,199.99,0.0902975420439844,91.23587,12,148,4,48.0,66,199.99,2017-04-09 00:00:00+01:00,3,-1,11.0,0,1
1,0.7925071322600648,0.0422518259596103,46.0,29,8,1,0,34,2457.7297,7.0,3,18.2941,-66.037056,1,399,48,4134.765,,0.0132,0.06,0.0200954773869346,0.09,0.25,99.96,0.0446676067270375,6.9655495,22,645,1,46.0,63,49.98,,2,1,11.0,0,0
3,0.770051857703879,0.04700645183445,17.0,12,64,1,0,34,725.0,4.0,0,18.202435,-66.37051,2,2180,40,495.18726,2017-05-31 00:00:00+01:00,0.033884342,0.16,0.0251256281407035,-0.8,0.25,119.98,0.0478140232858991,-95.4014,3,780,6,17.0,67,59.99,,2,0,11.0,0,0
1,0.8008687022024206,0.0841912446575067,48.0,45,380,0,0,3,95118.6,7.0,3,38.7195,-122.31972,2,315,90,1758.9119,,0.05998,0.15,0.0954773869346733,0.27,0.0,199.99,0.0846498680465718,44.569,3,397,1,48.0,66,199.99,2015-03-30 00:00:00+01:00,3,1,11.0,0,0
0,0.8080748685207726,0.0668357021303585,17.0,17,64,1,0,34,725.0,3.0,5,18.26879,-66.3705,4,1896,143,4891.248,2016-06-06 00:00:00+01:00,0.0,0.0,0.0150753768844221,0.49,0.75,129.99,0.0713962690815006,81.08791,6,705,0,9.0,102,39.99,2016-10-14 00:00:00+01:00,3,1,130.0,0,1
1,0.7781169671359346,0.0826396761442627,46.0,29,64,1,1,34,725.0,7.0,3,18.244066,-66.37058,4,1431,143,7524.8945,2016-05-17 00:00:00+01:00,0.07198,0.2,0.0200954773869346,-0.56984335,0.75,199.92,0.0830530401034929,-72.914665,21,165,1,46.0,63,49.98,2016-07-03 00:00:00+01:00,3,1,47.0,0,0
3,0.7530192223778793,0.0582608072410273,18.0,33,64,1,2,34,725.0,4.0,0,18.214336,-66.37052,4,1896,143,6665.7886,2016-06-09 00:00:00+01:00,0.0312,0.1,0.0603015075376884,-1.55,0.0,129.99,0.0566623544631306,-169.01434,6,705,6,18.0,52,129.99,2016-04-24 00:00:00+01:00,3,-1,-46.0,0,0
1,0.7974399595801851,0.0542227853051689,18.0,33,202,0,0,16,28629.11,4.0,0,38.620014,-84.38348,3,206,135,4701.6694,2016-06-06 00:00:00+01:00,0.036,0.13,0.0603015075376884,0.27,0.0,129.99,0.0546785148771022,27.000895,15,99,2,18.0,52,129.99,,3,1,11.0,0,0
2,0.7934749484417702,0.0596068145529801,29.0,37,64,1,1,34,725.0,5.0,6,18.264816,-66.37061,2,2563,90,11918.106,2017-08-29 00:00:00+01:00,0.062809784,0.18,0.0150753768844221,0.099622846,0.75,159.96,0.0620439844760672,11.838907,3,862,5,29.0,97,39.99,2017-04-28 00:00:00+01:00,0,1,-123.0,0,0
1,0.7998906696828423,0.0515307706812633,18.0,33,64,1,1,34,725.0,4.0,0,18.252352,-66.37063,1,1611,48,3401.903,2017-08-29 00:00:00+01:00,0.0416,0.15,0.0603015075376884,0.38,0.0,129.99,0.0538607684346701,43.503628,22,409,2,18.0,52,129.99,2017-06-30 00:00:00+01:00,3,1,-60.0,0,1
