Feature,Importance
shipping_mode,0.42778403
shipping_duration,0.024566516
product_category_id,0.020709142
order_profit_per_order,0.019755526
order_item_total_amount,0.019628178
sales,0.019002618
latitude,0.018624822
order_item_discount,0.018545147
customer_zipcode,0.018455535
order_customer_id,0.018445551
longitude,0.018304445
order_item_profit_ratio,0.018109472
order_item_product_price,0.017988691
order_status,0.017894011
product_name,0.017774545
profit_per_order,0.01769694
order_country,0.017549071
order_item_discount_rate,0.017546013
customer_state,0.017509062
order_state,0.01747526
market,0.017256215
sales_per_customer,0.01722092
order_city,0.017220434
category_id,0.016971998
customer_city,0.01690686
customer_segment,0.016361712
order_region,0.016208205
order_item_quantity,0.016119001
category_name,0.015578222
product_price,0.015577745
department_name,0.015351488
payment_type,0.014356151
department_id,0.013516801
customer_country,0.007989661
high_volume_customer,0.0
high_profit_margin,0.0
